Stage_1,Stage_2,Stage_3,pokedex_number,gen_introduced,initial_combat_power,final_combat_power
Nincada,Shedinja,,290,3,266,236.0
Scyther,Scizor,,123,1,500,500.0
Scyther,Kleavor,,123,1,500,500.0
Type: Null,Silvally,,772,7,534,570.0
Stantler,Wyrdeer,,234,2,465,525.0
Misdreavus,Mismagius,,200,2,435,495.0
Basculin,Basculegion,,550,5,460,530.0
Qwilfish,Overqwil,,211,2,440,510.0
Gligar,Gliscor,,207,2,430,510.0
Sneasel,Weavile,,215,2,430,510.0
Sneasel,Sneasler,,215,2,430,510.0
Ponyta,Rapidash,,77,1,410,500.0
Tangela,Tangrowth,,114,1,435,535.0
Corsola,Cursola,,222,2,410,510.0
Murkrow,Honchkrow,,198,2,405,505.0
Wailmer,Wailord,,320,3,400,500.0
Poipole,Naganadel,,803,7,420,540.0
Mudbray,Mudsdale,,749,7,385,500.0
Espurr,Meowstic,,677,6,355,466.0
Woobat,Swoobat,,527,5,323,425.0
Yanma,Yanmega,,193,2,390,515.0
Onix,Steelix,,95,1,385,510.0
Cubone,Marowak,,104,1,320,425.0
Lickitung,Lickilicky,,108,1,385,515.0
Aipom,Ambipom,,190,2,360,482.0
Farfetch'd,Sirfetch'd,,83,1,377,507.0
Porygon,Porygon2,Porygon Z,137,1,395,535.0
Spritzee,Aromatisse,,682,6,341,462.0
Buneary,Lopunny,,427,4,350,480.0
Litleo,Pyroar,,667,6,369,507.0
Vullaby,Mandibuzz,,629,5,370,510.0
Munchlax,Snorlax,,446,4,390,540.0
Finneon,Lumineon,,456,4,330,460.0
Chinchou,Lanturn,,170,2,330,460.0
Omanyte,Omastar,,138,1,355,495.0
Kabuto,Kabutops,,140,1,355,495.0
Tirtouga,Carracosta,,564,5,355,495.0
Anorith,Armaldo,,347,3,355,495.0
Lileep,Cradily,,345,3,355,495.0
Nosepass,Probopass,,299,3,375,525.0
Scraggy,Scrafty,,559,5,348,488.0
Clamperl,Huntail,,366,3,345,485.0
Mantyke,Mantine,,458,4,345,485.0
Clamperl,Gorebyss,,366,3,345,485.0
Goldeen,Seaking,,118,1,320,450.0
Swirlix,Slurpuff,,684,6,341,480.0
Bonsly,Sudowoodo,,438,4,290,410.0
Archen,Archeops,,566,5,401,567.0
Crabrawler,Crabominable,,739,7,338,478.0
Cranidos,Rampardos,,408,4,350,495.0
Shieldon,Bastiodon,,410,4,350,495.0
Cacnea,Cacturne,,331,3,335,475.0
Deerling,Sawsbuck,,585,5,335,475.0
Morelull,Shiinotic,,755,7,285,405.0
Paras,Parasect,,46,1,285,405.0
Pancham,Pangoro,,674,6,348,495.0
Spoink,Grumpig,,325,3,330,470.0
Kubfu,Urshifu,,891,8,385,550.0
Drifloon,Drifblim,,425,4,348,498.0
Frillish,Jellicent,,592,5,335,480.0
Tyrunt,Tyrantrum,,696,6,362,521.0
Amaura,Aurorus,,698,6,362,521.0
Trubbish,Garbodor,,568,5,329,474.0
Koffing,Weezing,,109,1,340,490.0
Pawniard,Bisharp,,624,5,340,490.0
Elgyem,Beheeyem,,605,5,335,485.0
Stunky,Skuntank,,434,4,329,479.0
Rufflet,Braviary,,627,5,350,510.0
Mienfoo,Mienshao,,619,5,350,510.0
Glameow,Purugly,,431,4,310,452.0
Seel,Dewgong,,86,1,325,475.0
Krabby,Kingler,,98,1,325,475.0
Shellos,Gastrodon,,422,4,325,475.0
Meditite,Medicham,,307,3,280,410.0
Natu,Xatu,,177,2,320,470.0
Stufful,Bewear,,759,7,340,500.0
Ledyba,Ledian,,165,2,265,390.0
Drowzee,Hypno,,96,1,328,483.0
Pumpkaboo,Gourgeist,,710,6,335,494.0
Venonat,Venomoth,,48,1,305,450.0
Snover,Abomasnow,,459,4,334,494.0
Magby,Magmar,Magmortar,240,2,365,540.0
Joltik,Galvantula,,595,5,319,472.0
Voltorb,Electrode,,100,1,330,490.0
Smoochum,Jynx,,238,2,305,455.0
Mankey,Primeape,,56,1,305,455.0
Dwebble,Crustle,,557,5,325,485.0
Sandshrew,Sandslash,,27,1,300,450.0
Snubbull,Granbull,,209,2,300,450.0
Buizel,Floatzel,,418,4,330,495.0
Salandit,Salazzle,,757,7,320,480.0
Elekid,Electabuzz,Electivire,239,2,360,540.0
Sandygast,Palossand,,769,7,320,480.0
Numel,Camerupt,,322,3,305,460.0
Carvanha,Sharpedo,,318,3,305,460.0
Cufant,Copperajah,,878,8,330,500.0
Skorupi,Drapion,,451,4,330,500.0
Clauncher,Clawitzer,,692,6,330,500.0
Phanpy,Donphan,,231,2,330,500.0
Houndour,Houndoom,,228,2,330,500.0
Doduo,Dodrio,,84,1,310,470.0
Skiddo,Gogoat,,672,6,350,531.0
Meowth,Persian,,52,1,290,440.0
Meowth,Perrserker,,52,1,290,440.0
Corphish,Crawdaunt,,341,3,308,468.0
Darumaka,Darmanitan,,554,5,315,480.0
Cutiefly,Ribombee,,742,7,304,464.0
Larvesta,Volcarona,,636,5,360,550.0
Staryu,Starmie,,120,1,340,520.0
Oddish,Gloom,Vileplume,43,1,320,490.0
Oddish,Gloom,Bellossom,43,1,320,490.0
Phantump,Trevenant,,708,6,309,474.0
Tentacool,Tentacruel,,72,1,335,515.0
Skitty,Delcatty,,300,3,260,400.0
Honedge,Doublade,Aegislash Shield,679,6,325,500.0
Grimer,Muk,,88,1,325,500.0
Shuppet,Banette,,353,3,295,455.0
Skrelp,Dragalge,,690,6,320,494.0
Zorua,Zoroark,,570,5,330,510.0
Gulpin,Swalot,,316,3,302,467.0
Clobbopus,Grapploct,,852,8,310,480.0
Drilbur,Excadrill,,529,5,328,508.0
Rhyhorn,Rhydon,Rhyperior,111,1,345,535.0
Ducklett,Swanna,,580,5,305,473.0
Slowpoke,Slowking,,79,1,315,490.0
Slowpoke,Slowbro,,79,1,315,490.0
Ekans,Arbok,,23,1,288,448.0
Wynaut,Wobbuffet,,360,3,260,405.0
Shroomish,Breloom,,285,3,295,460.0
Psyduck,Golduck,,54,1,320,500.0
Minccino,Cinccino,,572,5,300,470.0
Karrablast,Escavalier,,588,5,315,495.0
Panpour,Simipour,,515,5,316,498.0
Pansear,Simisear,,513,5,316,498.0
Pansage,Simisage,,511,5,316,498.0
Foongus,Amoonguss,,590,5,294,464.0
Swablu,Altaria,,333,3,310,490.0
Growlithe,Arcanine,,58,1,350,555.0
Purrloin,Liepard,,509,5,281,446.0
Hippopotas,Hippowdon,,449,4,330,525.0
Yamask,Runerigus,,562,5,303,483.0
Yamask,Cofagrigus,,562,5,303,483.0
Golett,Golurk,,622,5,303,483.0
Chingling,Chimecho,,433,4,285,455.0
Snorunt,Froslass,,361,3,300,480.0
Remoraid,Octillery,,223,2,300,480.0
Snorunt,Glalie,,361,3,300,480.0
Spinarak,Ariados,,167,2,250,400.0
Ferroseed,Ferrothorn,,597,5,305,489.0
Pineco,Forretress,,204,2,290,465.0
Diglett,Dugtrio,,50,1,265,425.0
Aron,Lairon,Aggron,304,3,330,530.0
Electrike,Manectric,,309,3,295,475.0
Sewaddle,Swadloon,Leavanny,540,5,310,500.0
Gastly,Haunter,Gengar,92,1,310,500.0
Abra,Kadabra,Alakazam,63,1,310,500.0
Eevee,Espeon,,133,1,325,525.0
Eevee,Jolteon,,133,1,325,525.0
Eevee,Flareon,,133,1,325,525.0
Eevee,Umbreon,,133,1,325,525.0
Eevee,Sylveon,,133,1,325,525.0
Eevee,Leafeon,,133,1,325,525.0
Eevee,Glaceon,,133,1,325,525.0
Eevee,Vaporeon,,133,1,325,525.0
Silicobra,Sandaconda,,843,8,315,510.0
Mareanie,Toxapex,,747,7,305,495.0
Shelmet,Accelgor,,616,5,305,495.0
Barboach,Whiscash,,339,3,288,468.0
Wingull,Pelipper,,278,3,270,440.0
Exeggcute,Exeggutor,,102,1,325,530.0
Rattata,Raticate,,19,1,253,413.0
Bellsprout,Weepinbell,Victreebel,69,1,300,490.0
Croagunk,Toxicroak,,453,4,300,490.0
Binacle,Barbaracle,,688,6,306,500.0
Cherubi,Cherrim,,420,4,275,450.0
Bidoof,Bibarel,,399,4,250,410.0
Magnemite,Magneton,Magnezone,81,1,325,535.0
Patrat,Watchog,,504,5,255,420.0
Sinistea,Polteageist,,854,8,308,508.0
Geodude,Graveler,Golem,74,1,300,495.0
Bulbasaur,Ivysaur,Venusaur,1,1,318,525.0
Turtwig,Grotle,Torterra,387,4,318,525.0
Chikorita,Bayleef,Meganium,152,2,318,525.0
Yungoos,Gumshoos,,734,7,253,418.0
Timburr,Gurdurr,Conkeldurr,532,5,305,505.0
Cubchoo,Beartic,,613,5,305,505.0
Machop,Machoke,Machamp,66,1,305,505.0
Rowlet,Dartrix,Decidueye,722,7,320,530.0
Litten,Torracat,Incineroar,725,7,320,530.0
Popplio,Brionne,Primarina,728,7,320,530.0
Helioptile,Heliolisk,,694,6,289,481.0
Poliwag,Poliwhirl,Politoed,60,1,300,500.0
Grubbin,Charjabug,Vikavolt,736,7,300,500.0
Teddiursa,Ursaring,Ursaluna,216,2,330,550.0
Bronzor,Bronzong,,436,4,300,500.0
Baltoy,Claydol,,343,3,300,500.0
Munna,Musharna,,517,5,292,487.0
Skwovet,Greedent,,819,8,275,460.0
Inkay,Malamar,,686,6,288,482.0
Mime Jr.,Mr. Mime,Mr. Rime,439,4,310,520.0
Blitzle,Zebstrika,,522,5,295,497.0
Taillow,Swellow,,276,3,270,455.0
Spearow,Fearow,,21,1,262,442.0
Axew,Fraxure,Haxorus,610,5,320,540.0
Surskit,Masquerain,,283,3,269,454.0
Dewpider,Araquanid,,751,7,269,454.0
Froakie,Frogadier,Greninja,656,6,314,530.0
Piplup,Prinplup,Empoleon,393,4,314,530.0
Totodile,Croconaw,Feraligatr,158,2,314,530.0
Squirtle,Wartortle,Blastoise,7,1,314,530.0
Vulpix,Ninetales,,37,1,299,505.0
Gothita,Gothorita,Gothitelle,574,5,290,490.0
Solosis,Duosion,Reuniclus,577,5,290,490.0
Bergmite,Avalugg,,712,6,304,514.0
Chespin,Quilladin,Chesnaught,650,6,313,530.0
Poliwag,Poliwhirl,Poliwrath,60,1,300,510.0
Chewtle,Drednaw,,833,8,284,485.0
Treecko,Grovyle,Sceptile,252,3,310,530.0
Sobble,Drizzile,Inteleon,816,8,310,530.0
Scorbunny,Raboot,Cinderace,813,8,310,530.0
Torchic,Combusken,Blaziken,255,3,310,530.0
Grookey,Thwackey,Rillaboom,810,8,310,530.0
Cottonee,Whimsicott,,546,5,280,480.0
Snivy,Servine,Serperior,495,5,308,528.0
Tepig,Pignite,Emboar,498,5,308,528.0
Nincada,Ninjask,,290,3,266,456.0
Oshawott,Dewott,Samurott,501,5,308,528.0
Petilil,Lilligant,,548,5,280,480.0
Slugma,Magcargo,,218,2,250,430.0
Shellder,Cloyster,,90,1,305,525.0
Sizzlipede,Centiskorch,,850,8,305,525.0
Hoothoot,Noctowl,,163,2,262,452.0
